City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,14.51,73,100,1.36,CL,1701020065
1,estacion coahuila,32.1939,-115.0017,16.04,22,85,5.82,MX,1701020066
2,anadyr,64.75,177.4833,1.28,100,100,13.0,RU,1701020067
3,invercargill,-46.4,168.35,10.57,92,100,0.45,NZ,1701020067
4,polyarnyy,69.1989,33.4478,-11.59,90,93,2.51,RU,1701020068
5,port elizabeth,-33.918,25.5701,21.29,91,20,5.14,ZA,1701020069
6,pico truncado,-46.7949,-67.9573,18.53,13,100,1.19,AR,1701020069
7,megion,61.0296,76.1136,-7.99,100,89,1.67,RU,1701020070
8,grytviken,-54.2811,-36.5092,3.7,100,100,2.24,GS,1701020071
9,port macquarie,-31.4333,152.9167,16.61,86,12,1.28,AU,1701020046
10,puerto natales,-51.7236,-72.4875,11.25,46,75,9.26,CL,1701019885
11,carnarvon,-24.8667,113.6333,21.26,72,94,6.52,AU,1701020073
12,arvika,59.6553,12.5852,-4.84,68,33,1.79,SE,1701020074
13,port-aux-francais,-49.35,70.2167,3.76,67,100,8.24,TF,1701020074
14,qaqortoq,60.7167,-46.0333,-2.13,95,99,4.88,GL,1701020075
15,vorgashor,67.5833,63.95,-16.17,98,87,3.61,RU,1701020076
16,portland,45.5234,-122.6762,8.36,68,75,5.36,US,1701019764
17,edinburgh of the seven seas,-37.0676,-12.3116,12.93,73,26,14.48,SH,1701020077
18,yellowknife,62.456,-114.3525,-14.77,89,100,3.09,CA,1701020078
19,nuuk,64.1835,-51.7216,0.34,74,75,14.4,GL,1701019860
20,adamstown,-25.066,-130.1015,20.65,88,100,11.17,PN,1701020079
21,puerto ayora,-0.7393,-90.3518,28.98,85,45,3.58,EC,1701020080
22,harper,4.375,-7.7169,27.22,77,57,3.86,LR,1701020080
23,stanley,54.868,-1.6985,3.2,92,75,0.51,GB,1701020081
24,bethel,41.3712,-73.414,8.34,68,100,2.57,US,1701020082
25,uturoa,-16.7333,-151.4333,26.86,74,98,6.92,PF,1701020082
26,jilin,43.0,126.0,-6.55,96,100,0.47,CN,1701020083
27,college,64.8569,-147.8028,-10.82,86,75,0.0,US,1701020084
28,sumenep,-7.0167,113.8667,27.65,77,98,0.74,ID,1701020084
29,blackmans bay,-43.0167,147.3167,9.07,86,97,0.89,AU,1701020085
30,chake chake,-5.2459,39.7666,25.33,87,100,2.64,TZ,1701020086
31,la foa,-21.7108,165.8276,21.05,78,68,1.87,NC,1701020086
32,the pas,53.8251,-101.2541,-12.99,66,100,6.17,CA,1701020087
33,masindi port,1.6961,32.0861,19.62,94,94,1.84,UG,1701020088
34,road town,18.4167,-64.6167,29.02,65,75,5.14,VG,1701019861
35,umea,63.8284,20.2597,-4.04,93,100,2.57,SE,1701020089
36,badger,64.8,-147.5333,-10.86,89,40,0.0,US,1701020090
37,byron bay,-28.65,153.6167,20.39,97,25,1.1,AU,1701020090
38,pervomayskoye,43.919,46.7102,9.8,89,15,5.26,RU,1701020091
39,tiksi,71.6872,128.8694,-24.79,100,96,2.97,RU,1701020092
40,ushuaia,-54.8,-68.3,6.81,49,40,7.2,AR,1701020092
41,hermanus,-34.4187,19.2345,18.35,75,27,1.44,ZA,1701020093
42,wewak,-3.5534,143.6268,25.58,86,38,0.72,PG,1701020094
43,new norfolk,-42.7826,147.0587,9.72,96,77,1.21,AU,1701020094
44,waitangi,-43.9535,-176.5597,13.79,97,39,0.45,NZ,1701020096
